divison,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Diamond,Top,Teemo,A,54.15%,1.2%,0.7%,"Quinn,Poppy,Rumble,Sylas,Irelia,Rengar,Jayce",229
Diamond,Top,Mordekaiser,S,54.10%,4.2%,1.5%,"Yasuo,Sion,Ryze,Darius,Karma,Aatrox,Gnar",817
Diamond,Mid,Gragas,A,53.49%,0.9%,1.8%,"Garen,Heimerdinger,Taliyah,Jayce,Kennen,Lux,Velkoz",172
Diamond,Mid,Camille,A,53.47%,0.5%,23.5%,"Syndra,Qiyana,Pantheon,Renekton,Karthus,Diana,Lulu",101
Diamond,Supp,Maokai,S,53.43%,4.6%,3.5%,"Xerath,Nami,Taric,Swain,Morgana,Pyke,Neeko",889
Diamond,Mid,Cho'Gath,B,53.39%,0.6%,0.8%,"Lissandra,Shyvana,Diana,Ziggs,Ekko,Akali,Annie",118
Diamond,Mid,Vel'Koz,A,53.33%,1.6%,0.2%,"Qiyana,Pantheon,Ziggs,Vladimir,Kassadin,Syndra,Azir",300
Diamond,Jungle,Nunu & Willump,S,53.15%,5.2%,5.6%,"Reksai,Shaco,Taliyah,Kayn,Vi,Rammus,Gragas",999
Diamond,Top,Maokai,A,52.96%,1.3%,3.5%,"Ryze,Shen,Chogath,Heimerdinger,Volibear,Illaoi,Nasus",253
Diamond,Top,Singed,A,52.91%,2.0%,0.1%,"Ornn,Nasus,Urgot,Kennen,Drmundo,Tryndamere,Pantheon",378
Diamond,Mid,Sett,A,52.86%,1.1%,1.6%,"Renekton,Twistedfate,Qiyana,Fizz,Viego,Orianna,Azir",210
Diamond,Mid,Seraphine,S,52.67%,2.3%,19.1%,"Velkoz,Galio,Lissandra,Neeko,Ryze,Taliyah,Jayce",450
Diamond,Supp,Zilean,A,52.63%,3.0%,0.6%,"Ashe,Poppy,Swain,Galio,Gragas,Shen,Nautilus",570
Diamond,Supp,Shaco,S,52.61%,2.7%,7.6%,"Braum,Zilean,Ashe,Rell,Nautilus,Seraphine,Galio",517
Diamond,Jungle,Skarner,A,52.56%,2.5%,0.6%,"Kindred,Ivern,Viego,Warwick,Volibear,Reksai,Rammus",489
Diamond,Mid,Renekton,A,52.55%,1.0%,12.8%,"Viego,Viktor,Syndra,Karthus,Malzahar,Ahri,Xerath",196
Diamond,Jungle,Ekko,S,52.53%,7.6%,7.7%,"Reksai,Nidalee,Fiddlesticks,Skarner,Viego,Taliyah,Karthus","1,464"
Diamond,Mid,Annie,A,52.45%,2.2%,0.5%,"Xerath,Pantheon,Azir,Fizz,Aurelionsol,Yasuo,Talon",429
Diamond,Supp,Bard,S,52.43%,6.6%,0.7%,"Maokai,Sona,Shaco,Zilean,Lux,Rell,Nami","1,276"
Diamond,Mid,Katarina,S+,52.36%,9.1%,19.5%,"Malzahar,Vladimir,Qiyana,Renekton,Seraphine,Viego,Lux","1,757"
Diamond,Mid,Qiyana,A,52.35%,2.6%,0.4%,"Gragas,Lux,Azir,Syndra,Karma,Fizz,Anivia",510
Diamond,Jungle,Shaco,S,52.30%,4.1%,7.6%,"Sejuani,Elise,Gragas,Rammus,Udyr,Zac,Hecarim",782
Diamond,Top,Quinn,A,52.25%,1.5%,1.3%,"Mordekaiser,Sett,Ornn,Volibear,Rengar,Fiora,Garen",289
Diamond,Supp,Rell,S+,52.22%,10.5%,11.3%,"Pantheon,Blitzcrank,Zilean,Sett,Seraphine,Janna,Nami","2,028"
Diamond,Top,Shen,S,52.17%,6.3%,2.5%,"Poppy,Vladimir,Singed,Pantheon,Ryze,Riven,Chogath","1,221"
Diamond,Adc,Kai'Sa,S+,52.16%,39.2%,43.7%,"Swain,Kalista,Draven,Ashe,Seraphine,Samira,Senna","7,560"
Diamond,Jungle,Fiddlesticks,S,52.06%,4.9%,5.2%,"Shaco,Warwick,Karthus,Nocturne,Kindred,Nunu,Udyr",945
Diamond,Adc,Draven,A,51.98%,4.6%,2.9%,"Varus,Kalista,Tristana,Twitch,Xayah,Senna,Samira",883
Diamond,Mid,Viego,S+,51.96%,4.2%,43.0%,"Malphite,Qiyana,Seraphine,Karma,Malzahar,Xerath,Lux",816
Diamond,Top,Yone,S,51.94%,1.6%,26.7%,"Yasuo,Maokai,Ryze,Chogath,Sett,Jax,Rengar",310
Diamond,Top,Cassiopeia,B,51.92%,0.5%,1.4%,"Twistedfate,Kassadin,Riven,Pantheon,Karthus,Rengar,Singed",104
Diamond,Mid,Lissandra,A,51.81%,1.4%,0.2%,"Azir,Talon,Leblanc,Ekko,Annie,Gragas,Zed",276
Diamond,Jungle,Rek'Sai,A,51.76%,5.0%,3.7%,"Shaco,Rammus,Poppy,Hecarim,Nocturne,Jarvaniv,Karthus",968
Diamond,Supp,Seraphine,S+,51.75%,13.8%,19.1%,"Blitzcrank,Zyra,Zilean,Xerath,Pyke,Thresh,Bard","2,657"
Diamond,Mid,Lux,A,51.71%,2.1%,0.2%,"Zilean,Seraphine,Yasuo,Zed,Zoe,Lissandra,Viktor",410
Diamond,Mid,Cassiopeia,A,51.68%,3.1%,1.4%,"Corki,Jayce,Neeko,Tristana,Karma,Diana,Viktor",596
Diamond,Jungle,Kha'Zix,S+,51.67%,10.0%,15.3%,"Vi,Rammus,Nunu,Reksai,Karthus,Skarner,Ivern","1,920"
Diamond,Supp,Thresh,S+,51.67%,21.9%,13.3%,"Gragas,Swain,Maokai,Rell,Karma,Bard,Rakan","4,221"
Diamond,Mid,Azir,A,51.66%,2.0%,0.2%,"Karthus,Nocturne,Corki,Taliyah,Akali,Swain,Cassiopeia",391
Diamond,Jungle,Evelynn,S+,51.63%,5.1%,14.5%,"Rammus,Rengar,Drmundo,Ivern,Udyr,Kindred,Nunu",980
Diamond,Mid,LeBlanc,A,51.56%,3.3%,2.5%,"Cassiopeia,Viego,Jayce,Anivia,Lux,Ziggs,Aurelionsol",640
Diamond,Top,Sion,A,51.52%,2.9%,0.1%,"Rengar,Heimerdinger,Yone,Renekton,Akali,Viego,Darius",559
Diamond,Adc,Tristana,A,51.46%,4.8%,0.7%,"Kalista,Jhin,Jinx,Ashe,Kaisa,Lucian,Senna",923
Diamond,Mid,Galio,S,51.45%,7.2%,5.9%,"Yasuo,Garen,Diana,Anivia,Velkoz,Tristana,Leblanc","1,380"
Diamond,Top,Darius,S+,51.43%,6.9%,27.5%,"Poppy,Teemo,Maokai,Ryze,Kennen,Pantheon,Akali","1,328"
Diamond,Supp,Leona,S+,51.36%,11.5%,28.7%,"Taric,Zilean,Morgana,Janna,Maokai,Zyra,Rell","2,214"
Diamond,Top,Karma,B,51.35%,1.0%,0.5%,"Kassadin,Tahmkench,Yasuo,Viktor,Rengar,Singed,Kled",185
Diamond,Top,Viego,S+,51.32%,4.7%,43.0%,"Quinn,Vladimir,Jax,Wukong,Irelia,Urgot,Mordekaiser",912
Diamond,Top,Nasus,A,51.30%,2.0%,0.5%,"Rengar,Heimerdinger,Teemo,Sylas,Yorick,Trundle,Kled",384
Diamond,Top,Urgot,A,51.29%,2.2%,0.3%,"Pantheon,Sion,Shen,Kayle,Mordekaiser,Darius,Yasuo",425
Diamond,Top,Malphite,S+,51.27%,7.4%,17.0%,"Heimerdinger,Sion,Urgot,Singed,Kennen,Yone,Nasus","1,420"
Diamond,Mid,Xerath,B,51.23%,1.9%,0.4%,"Azir,Veigar,Swain,Velkoz,Diana,Qiyana,Lux",365
Diamond,Supp,Lulu,S+,51.22%,11.9%,11.3%,"Xerath,Lux,Leona,Velkoz,Maokai,Yuumi,Karma","2,290"
Diamond,Top,Kennen,A,51.18%,2.0%,0.2%,"Kled,Sion,Maokai,Nasus,Poppy,Urgot,Viego",381
Diamond,Mid,Ziggs,B,51.15%,0.9%,0.0%,"Rengar,Xerath,Talon,Akali,Jayce,Annie,Lux",174
Diamond,Mid,Vladimir,S,51.12%,5.1%,5.2%,"Lulu,Qiyana,Anivia,Viktor,Ziggs,Seraphine,Yasuo",986
Diamond,Mid,Kassadin,S+,51.03%,6.1%,17.5%,"Neeko,Lissandra,Leblanc,Diana,Karma,Lux,Rumble","1,168"
Diamond,Adc,Swain,B,51.01%,1.0%,0.6%,"Ashe,Twitch,Seraphine,Velkoz,Draven,Tristana,Missfortune",198
Diamond,Top,Gnar,S+,50.98%,12.7%,9.8%,"Nasus,Singed,Darius,Jax,Garen,Teemo,Kled","2,452"
Diamond,Supp,Morgana,S+,50.91%,5.1%,18.0%,"Brand,Zilean,Lux,Sona,Lulu,Bard,Karma",986
Diamond,Jungle,Wukong,B,50.91%,0.6%,1.4%,"Rammus,Drmundo,Kayn,Zac,Kindred,Reksai,Ivern",110
Diamond,Top,Riven,S,50.83%,8.4%,3.5%,"Quinn,Sylas,Heimerdinger,Vayne,Poppy,Nasus,Ornn","1,625"
Diamond,Adc,Twitch,A,50.80%,4.2%,3.2%,"Sivir,Tristana,Missfortune,Kaisa,Xayah,Jinx,Jhin",815
Diamond,Mid,Zed,S+,50.80%,9.4%,23.0%,"Sett,Seraphine,Annie,Pantheon,Viego,Qiyana,Malphite","1,809"
Diamond,Mid,Ekko,A,50.76%,6.1%,7.7%,"Jayce,Pantheon,Tristana,Zed,Malzahar,Neeko,Velkoz","1,178"
Diamond,Top,Pantheon,S,50.75%,2.4%,30.7%,"Nasus,Poppy,Tryndamere,Gnar,Chogath,Jayce,Sylas",467
Diamond,Supp,Nami,A,50.75%,4.2%,0.1%,"Brand,Pantheon,Galio,Twitch,Morgana,Braum,Senna",802
Diamond,Mid,Yasuo,S,50.67%,7.4%,11.1%,"Camille,Rumble,Nocturne,Azir,Katarina,Orianna,Xerath","1,425"
